timestamp,PV.DC Power,BESS.DC Power,Battery Group 1.DC Power,Battery Group 2.DC Power,Battery Group 3.DC Power,Battery Group 4.DC Power,Inverter.Active Power,L2 7650 Meter.Active Power,OASIS POI.Active Power
="2015-01-01 00:00:00",13.4,-0.5,-0.5,0.0,0.0,-0.0,12.7,,0.4
="2015-01-02 00:00:00",1.9,-1.7,-0.1,-0.6,-0.4,-0.4,-0.1,,-12.3
="2015-01-03 00:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-11.0
="2015-01-04 00:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-10.9
="2015-01-05 00:00:00",1.5,-0.7,-0.0,0.0,-0.3,-0.3,0.6,,-10.8
="2015-01-06 00:00:00",0.0,0.2,0.1,-0.0,0.1,0.1,-0.5,,-11.8
="2015-01-07 00:00:00",4.0,-0.0,-0.0,-0.0,-0.0,-0.0,3.6,,-7.3
="2015-01-08 00:00:00",5.4,-3.9,-0.6,-1.3,-1.0,-1.0,1.3,,-10.7
="2015-01-09 00:00:00",6.4,-0.1,-0.0,-0.1,-0.0,-0.0,5.9,,-5.4
="2015-01-10 00:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-9.9
="2015-01-11 00:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-9.2
="2015-01-12 00:00:00",3.4,-1.9,-0.2,-0.6,-0.5,-0.6,1.2,,-9.4
="2015-01-13 00:00:00",7.7,-0.4,0.0,-0.1,-0.1,-0.1,7.1,,-3.1
="2015-01-14 00:00:00",15.3,-0.5,-0.0,-0.2,-0.2,-0.1,14.4,,2.0
="2015-01-15 00:00:00",2.3,-1.9,-0.5,-0.4,-0.3,-0.5,-0.6,,-13.7
="2015-01-16 00:00:00",11.9,-2.1,-0.1,-0.7,-0.6,-0.6,8.4,,-3.4
="2015-01-17 00:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-10.0
="2015-01-18 00:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-9.3
="2015-01-19 00:00:00",20.6,-1.6,-0.3,-0.5,-0.4,-0.3,18.6,,7.7
="2015-01-20 00:00:00",17.7,-1.0,0.0,-0.4,-0.4,-0.3,16.2,,4.7
="2015-01-21 00:00:00",1.8,-0.0,-0.0,-0.0,-0.0,-0.0,1.7,,-9.3
="2015-01-22 00:00:00",0.5,-2.3,-0.5,-0.7,-0.4,-0.6,-2.4,,-13.5
="2015-01-23 00:00:00",-0.0,-2.0,-0.2,-0.5,-0.6,-0.5,-3.3,,-15.5
="2015-01-24 00:00:00",0.0,-0.2,-0.0,-0.1,-0.1,-0.1,-0.2,,-11.4
="2015-01-25 00:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-7.9
="2015-01-26 00:00:00",13.8,-2.0,-0.2,-0.6,-0.6,-0.5,11.2,,0.1
="2015-01-27 00:00:00",1.7,-2.1,-0.3,-0.6,-0.6,-0.5,-1.2,,-11.7
="2015-01-28 00:00:00",11.6,-2.3,-0.1,-0.7,-0.7,-0.7,8.5,,-3.8
="2015-01-29 00:00:00",19.9,-2.8,-0.5,-0.9,-0.6,-0.6,15.3,,0.3
="2015-01-30 00:00:00",20.0,-3.0,-0.3,-0.9,-0.8,-0.8,15.7,,2.9
="2015-01-31 00:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-9.8
="2015-02-01 00:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-9.4
="2015-02-02 00:00:00",5.0,0.0,-0.0,0.0,0.0,0.0,3.9,,-7.6
="2015-02-03 00:00:00",3.7,-0.0,-0.0,0.0,0.0,0.0,2.5,,-9.3
="2015-02-04 00:00:00",6.2,-0.0,-0.0,-0.0,-0.0,0.0,5.1,,-7.5
="2015-02-05 00:00:00",0.8,-7.8,-1.1,-2.2,-2.2,-2.2,-8.4,,-20.7
="2015-02-06 00:00:00",2.2,-2.9,-0.0,-1.3,-0.8,-0.7,-1.4,,-12.0
="2015-02-07 00:00:00",-0.1,-3.3,-0.6,-1.0,-0.8,-0.8,-5.5,,-19.0
="2015-02-08 00:00:00",11.2,-2.8,-0.2,-0.8,-0.8,-0.8,6.4,,-6.9
="2015-02-09 00:00:00",-0.1,-3.1,-0.5,-0.8,-0.8,-0.8,-5.3,,-18.8
="2015-02-10 00:00:00",4.9,-3.6,-0.4,-1.1,-1.0,-1.0,0.3,,-13.1
="2015-02-11 00:00:00",10.0,-0.9,-0.0,-0.4,-0.1,-0.3,8.6,,-4.4
="2015-02-12 00:00:00",3.2,-0.8,-0.0,-0.4,-0.3,-0.1,2.1,,-8.2
="2015-02-13 00:00:00",8.9,-1.7,-0.3,-0.5,-0.5,-0.4,6.9,,-3.1
="2015-02-14 00:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-10.3
="2015-02-15 00:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-8.8
="2015-02-16 00:00:00",20.4,0.0,0.0,0.0,0.0,-0.0,20.0,,8.9
="2015-02-17 00:00:00",20.2,0.0,0.0,-0.0,-0.0,-0.0,19.8,,66.6
="2015-02-18 00:00:00",16.4,-0.0,-0.0,-0.0,-0.0,-0.0,16.1,,60.4
="2015-02-19 00:00:00",10.6,-0.0,-0.0,-0.0,0.0,-0.0,10.3,,0.5
="2015-02-20 00:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-9.5
="2015-02-21 00:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-9.9
="2015-02-22 00:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-11.2
="2015-02-23 00:00:00",33.1,-0.0,-0.0,-0.0,-0.0,-0.0,32.4,,21.5
="2015-02-24 00:00:00",22.4,-7.3,-1.3,-2.1,-1.9,-2.0,14.9,,2.7
="2015-02-25 00:00:00",8.1,-0.9,0.0,-0.5,-0.1,-0.3,6.9,,-6.2
="2015-02-26 00:00:00",12.9,-1.2,-0.2,-0.3,-0.3,-0.3,11.5,,0.8
="2015-02-27 00:00:00",25.9,-0.8,0.0,-0.2,-0.5,-0.2,24.6,,13.8
="2015-02-28 00:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-9.7
="2015-03-01 00:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-10.1
="2015-03-02 00:00:00",36.9,-1.5,-0.5,-0.4,0.0,-0.6,34.7,,22.7
="2015-03-03 00:00:00",34.4,-1.5,0.0,-0.5,-0.6,-0.4,32.2,,20.6
="2015-03-04 00:00:00",3.8,-0.1,-0.0,0.0,0.0,-0.1,3.6,,-6.8
="2015-03-05 00:00:00",30.5,-1.5,-0.5,-0.5,-0.5,-0.0,28.5,,17.2
="2015-03-06 00:00:00",22.0,-0.9,-0.0,-0.4,0.0,-0.5,20.8,,9.6
="2015-03-07 00:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-9.9
="2015-03-08 00:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-9.3
="2015-03-09 01:00:00",39.3,-1.8,-0.2,-0.5,-0.6,-0.4,36.7,,26.0
="2015-03-10 01:00:00",28.8,-2.6,-0.5,-0.7,-0.7,-0.6,25.8,,14.0
="2015-03-11 01:00:00",0.7,-4.4,-0.4,-1.7,-1.3,-0.9,-4.2,,-14.6
="2015-03-12 01:00:00",19.3,-3.5,-0.6,-1.1,-0.9,-0.8,15.3,,6.2
="2015-03-13 01:00:00",25.8,-2.1,-0.3,-1.1,-0.5,-0.2,23.5,,15.3
="2015-03-14 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-7.3
="2015-03-15 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-7.6
